Record_ID,Customer_Name,Email,Phone,City,Country,Department,Product_Name,Quantity,Unit_Price,Total_Amount,Order_Status,Order_Date,Delivery_Date,Order Month,Order Date,Order Year,Delivery_Month,Delivery Date,Delivery Year,Customer First Name,Customer Last Name
19,Christopher Gomez,sfarley@hotmail.com,-4996,Bradshire,Hong Kong,Marketing,Gun Product,16,156.07,2497.12,Cancelled,10/6/2024,10/15/2024,Oct,06,2024,Oct,15,2024,Christopher,Gomez
20,Joanne Ward,hannah20@yahoo.com,(045)066-2872x188,Smithshire,Lithuania,Support,Mission Product,2,258.8,517.6,In Progress,3/30/2025,4/10/2025,Mar,30,2025,Apr,10,2025,Joanne,Ward
21,Lisa Galloway,gabrielle03@gmail.com,001-983-448-1923x7167,North Pamela,Turks and Caicos Islands,Operations,Week Product,9,79.01,711.09,In Progress,7/14/2025,7/25/2025,Jul,14,2025,Jul,25,2025,Lisa,Galloway
22,Levi Walker,harrisonwayne@gmail.com,(474)912-9841x53033,New Eileenfort,Cambodia,Operations,Friend Product,15,148.58,2228.7,Pending,2/23/2025,3/4/2025,Feb,23,2025,Mar,04,2025,Levi,Walker
23,Nicholas Carpenter,randymcdaniel@gmail.com,029-153-4997,New Stephanie,Netherlands,Operations,Movement Product,18,396.45,7136.1,Cancelled,12/22/2024,12/26/2024,Dec,22,2024,Dec,26,2024,Nicholas,Carpenter
24,Brandon Hammond,kburns@hotmail.com,401-140-6531x305,Billytown,Bosnia and Herzegovina,Operations,Common Product,18,388.07,6985.26,Cancelled,5/16/2024,5/23/2024,May,16,2024,May,23,2024,Brandon,Hammond
25,Antonio Mcclure,tchang@dorsey.com,279.514.1548,Sharpfurt,Faroe Islands,Sales,Imagine Product,2,52.78,105.56,Cancelled,9/22/2024,10/7/2024,Sep,22,2024,Oct,07,2024,Antonio,Mcclure
26,Melissa Medina,briannaharris@yahoo.com,+1-390-960-3359x175,Websterton,Uruguay,Marketing,Figure Product,14,218.43,3058.02,Completed,6/22/2024,7/7/2024,Jun,22,2024,Jul,07,2024,Melissa,Medina
27,Bryan Smith,lisameyers@edwards.com,653.272.1319x6923,New Nicole,Kazakhstan,Operations,Whose Product,20,331.2,6624,In Progress,10/24/2023,11/4/2023,Oct,24,2023,Nov,04,2023,Bryan,Smith
28,Alicia Cain,delgadorichard@miller.com,(880)171-7801,Edwardsshire,New Caledonia,IT,Respond Product,9,236.39,2127.51,In Progress,8/1/2023,8/8/2023,Aug,01,2023,Aug,08,2023,Alicia,Cain
29,Nicholas Tate,brentbrooks@hotmail.com,+1-600-505-7048x85100,Riveraton,Saint Pierre and Miquelon,Operations,What Product,9,465.59,4190.31,Pending,5/19/2025,5/23/2025,May,19,2025,May,23,2025,Nicholas,Tate
30,John Brown,wwashington@george.biz,001-124-958-2189x65962,Stevenborough,Nicaragua,Support,Arm Product,3,455.35,1366.05,Cancelled,3/15/2025,3/24/2025,Mar,15,2025,Mar,24,2025,John,Brown
31,Danielle Leblanc,cole19@hotmail.com,768.330.3115,West Robert,United States of America,Finance,Research Product,6,272.8,1636.8,In Progress,10/6/2024,10/20/2024,Oct,06,2024,Oct,20,2024,Danielle,Leblanc
32,Glenda Weeks,jeffery57@aguilar-morrison.com,744-711-2108,Jessicaside,Swaziland,Sales,Try Product,18,243.64,4385.52,In Progress,12/2/2023,12/4/2023,Dec,02,2023,Dec,04,2023,Glenda,Weeks
33,Mathew Lopez,melissacole@mccoy-lopez.com,001-803-887-9370x97943,Lake Bethany,Liberia,Sales,Performance Product,8,41.45,331.6,In Progress,6/12/2024,6/18/2024,Jun,12,2024,Jun,18,2024,Mathew,Lopez
34,Anthony Porter,ycarson@yahoo.com,+1-254-669-5229x60539,West Evanborough,Turks and Caicos Islands,HR,Thus Product,10,289.84,2898.4,Pending,4/5/2025,4/12/2025,Apr,05,2025,Apr,12,2025,Anthony,Porter
35,Mary Stanton,michelehobbs@tucker-scott.com,033.114.6318x6598,Port Samanthashire,Timor-Leste,Support,Machine Product,20,308.54,6170.8,Pending,5/27/2025,5/30/2025,May,27,2025,May,30,2025,Mary,Stanton
36,Sheila Young,nwoods@gmail.com,-1360,New Shannonmouth,Liechtenstein,Sales,Interest Product,2,206.35,412.7,Completed,1/25/2025,1/28/2025,Jan,25,2025,Jan,28,2025,Sheila,Young
37,Brian Peck,paula51@yahoo.com,032.901.2585x8685,West Samuel,Botswana,Marketing,Director Product,13,320.71,4169.23,Pending,6/20/2023,6/30/2023,Jun,20,2023,Jun,30,2023,Brian,Peck
38,Katie Booker,griffinalexandria@gmail.com,001-295-476-0572,West Nathan,Venezuela,HR,Very Product,13,192.86,2507.18,Cancelled,1/24/2025,2/8/2025,Jan,24,2025,Feb,08,2025,Katie,Booker
39,Bethany Thomas,bradbarker@gmail.com,108.885.2067x3773,Jessefurt,Liechtenstein,Finance,Air Product,19,118.47,2250.93,In Progress,11/26/2025,12/6/2025,Nov,26,2025,Dec,06,2025,Bethany,Thomas
40,Adrian Cunningham,hansonthomas@davis.net,669.363.6052,Lake Kyleburgh,Falkland Islands (Malvinas),Finance,Suffer Product,18,193.08,3475.44,Cancelled,9/3/2024,9/16/2024,Sep,03,2024,Sep,16,2024,Adrian,Cunningham
41,Ruben Young,collierdaniel@gmail.com,390-797-2604,Port Larryfort,Libyan Arab Jamahiriya,Marketing,Various Product,6,342.39,2054.34,Cancelled,2/9/2025,2/10/2025,Feb,09,2025,Feb,10,2025,Ruben,Young
42,Todd Arnold,aallen@banks.biz,001-140-305-4034x440,Lake Erinmouth,Dominican Republic,Sales,Again Product,12,456.66,5479.92,Cancelled,4/30/2024,5/4/2024,Apr,30,2024,May,04,2024,Todd,Arnold
43,Darlene Clark,lwood@carrillo.com,001-127-900-6408x21075,West Doris,Anguilla,IT,Past Product,9,430.68,3876.12,Pending,12/26/2025,1/10/2026,Dec,26,2026,Jan,10,2026,Darlene,Clark
44,Lisa Howell,kelseysmith@yahoo.com,457-730-1085,Nicholastown,Bangladesh,Sales,Sort Product,17,105.8,1798.6,Cancelled,11/2/2023,11/13/2023,Nov,02,2023,Nov,13,2023,Lisa,Howell
45,John Dillon,lorishepard@costa.info,001-516-932-0418x835,East Melanie,Japan,Support,Letter Product,9,31.74,285.66,Completed,5/28/2025,6/7/2025,May,28,2025,Jun,07,2025,John,Dillon
46,Stephanie Williams,maria32@gmail.com,886-238-8417,Charlesmouth,Somalia,Operations,Skin Product,6,269.34,1616.04,Cancelled,8/6/2023,8/20/2023,Aug,06,2023,Aug,20,2023,Stephanie,Williams
47,Vincent Martin,lallen@yahoo.com,9118855475,Heatherland,Netherlands,Support,Large Product,11,29.32,322.52,Pending,5/4/2025,5/18/2025,May,04,2025,May,18,2025,Vincent,Martin
48,Marissa Jackson,nramirez@gmail.com,(043)524-6852x4722,Duncanview,Jordan,Sales,Box Product,8,114.02,912.16,Cancelled,1/7/2024,1/13/2024,Jan,07,2024,Jan,13,2024,Marissa,Jackson
49,Kristin Gallagher,toddhicks@paul.com,+1-434-245-4076x0299,Rodneyfort,Sweden,Support,Last Product,11,432.1,4753.1,In Progress,9/3/2025,9/7/2025,Sep,03,2025,Sep,07,2025,Kristin,Gallagher
50,Sara Brown,chadlyons@hotmail.com,001-190-153-9277x2210,South Karenfurt,Senegal,HR,Lay Product,1,382.16,382.16,Pending,4/15/2025,4/22/2025,Apr,15,2025,Apr,22,2025,Sara,Brown
51,Laura Johnson,hgalloway@wilkins.com,011.615.9687x56654,Munozmouth,Egypt,Operations,Detail Product,17,471.99,8023.83,Cancelled,1/22/2025,1/25/2025,Jan,22,2025,Jan,25,2025,Laura,Johnson
52,Lindsey Garza,andersonshelby@vasquez.com,+1-514-853-4676x620,Adamsstad,Holy See (Vatican City State),HR,Yourself Product,15,47.58,713.7,In Progress,1/21/2026,1/24/2026,Jan,21,2026,Jan,24,2026,Lindsey,Garza
53,Angela Sherman,jamesautumn@martinez.info,001-896-025-6427x9477,West Melissabury,Cyprus,Operations,Table Product,14,205.95,2883.3,In Progress,3/9/2026,3/17/2026,Mar,09,2026,Mar,17,2026,Angela,Sherman
54,Lisa Whitaker,zchambers@gmail.com,133-096-3888,Kaylatown,Nauru,Support,Represent Product,9,60.25,542.25,In Progress,3/13/2026,3/23/2026,Mar,13,2026,Mar,23,2026,Lisa,Whitaker
55,Darlene Yates,walter65@hotmail.com,-10635,Sydneytown,Montserrat,Operations,Well Product,19,212.57,4038.83,In Progress,4/6/2026,4/8/2026,Apr,06,2026,Apr,08,2026,Darlene,Yates
56,Matthew Jones,mariakoch@gmail.com,(668)468-3998,Thompsonfort,Switzerland,Operations,Save Product,20,219.95,4399,In Progress,12/5/2024,12/10/2024,Dec,05,2024,Dec,10,2024,Matthew,Jones
57,Katherine Knapp,angelarivera@brown-johnson.com,142-513-0475,South Kathrynfurt,Christmas Island,Finance,Seat Product,19,301.68,5731.92,Completed,4/27/2024,5/4/2024,Apr,27,2024,May,04,2024,Katherine,Knapp
58,William Adams,rmoody@hotmail.com,694.825.4389x90636,North Anthonytown,Suriname,HR,Group Product,6,309.7,1858.2,In Progress,5/6/2025,5/8/2025,May,06,2025,May,08,2025,William,Adams
59,Kimberly Hoover,amandamatthews@griffith-roberts.com,967-986-2383x335,North Jacobside,Costa Rica,HR,Laugh Product,13,77.15,1002.95,In Progress,12/5/2023,12/13/2023,Dec,05,2023,Dec,13,2023,Kimberly,Hoover
60,Heather Simmons,keith19@newman.com,+1-849-324-9965x21019,Calhounburgh,Trinidad and Tobago,Marketing,Eye Product,8,133.1,1064.8,Pending,8/16/2025,8/21/2025,Aug,16,2025,Aug,21,2025,Heather,Simmons
61,Casey Russell,sharonparker@perez-caldwell.org,+1-168-175-4533x1155,East Davidberg,Grenada,IT,Reduce Product,6,124.38,746.28,Completed,7/18/2023,7/22/2023,Jul,18,2023,Jul,22,2023,Casey,Russell
62,Jamie Smith,jerryroth@perez.com,(726)674-4493x97153,Richardsonview,Djibouti,IT,Ok Product,10,242.83,2428.3,Cancelled,3/12/2024,3/16/2024,Mar,12,2024,Mar,16,2024,Jamie,Smith
63,Angela Bauer,prestonserrano@dennis.org,-7404,Randyshire,Svalbard & Jan Mayen Islands,Sales,Much Product,6,103.31,619.86,Pending,9/11/2023,9/16/2023,Sep,11,2023,Sep,16,2023,Angela,Bauer
64,Dana Nolan,stevenlang@beltran.com,(037)460-3035,Thomasview,Liechtenstein,Support,Hot Product,5,484.44,2422.2,Pending,12/19/2024,12/27/2024,Dec,19,2024,Dec,27,2024,Dana,Nolan
65,Gina Gordon,bmyers@hotmail.com,672.534.2960,Matthewview,Saint Helena,IT,Else Product,13,75.18,977.34,Cancelled,11/16/2023,11/25/2023,Nov,16,2023,Nov,25,2023,Gina,Gordon
66,Paul Patrick,zrobbins@patrick-farrell.org,+1-603-154-7469x2067,West Jessebury,Ecuador,IT,Method Product,9,162.7,1464.3,In Progress,8/12/2023,8/14/2023,Aug,12,2023,Aug,14,2023,Paul,Patrick
67,Keith Harris,charles54@mcbride.com,001-481-296-7140x34888,Beckerberg,Israel,IT,Eight Product,2,431.92,863.84,Completed,12/14/2024,12/20/2024,Dec,14,2024,Dec,20,2024,Keith,Harris
68,Amanda Walker,droberts@gmail.com,099.004.8834,Cookborough,Costa Rica,Support,Look Product,9,96.32,866.88,Completed,2/13/2026,2/26/2026,Feb,13,2026,Feb,26,2026,Amanda,Walker
69,Jeffrey Pearson,bethwiggins@hotmail.com,001-864-028-3292x266,Andreabury,Netherlands,Support,Out Product,20,33.48,669.6,Cancelled,3/5/2026,3/12/2026,Mar,05,2026,Mar,12,2026,Jeffrey,Pearson
70,Jennifer Williams,gallegoslynn@peterson.biz,(661)784-9811x937,Taylorhaven,Ghana,IT,Right Product,7,467.95,3275.65,In Progress,9/27/2023,9/28/2023,Sep,27,2023,Sep,28,2023,Jennifer,Williams
71,Kayla Wilcox,xedwards@hotmail.com,001-937-765-4591x7033,South Heather,British Indian Ocean Territory (Chagos Archipelago),Support,Heart Product,10,198.75,1987.5,In Progress,6/14/2024,6/19/2024,Jun,14,2024,Jun,19,2024,Kayla,Wilcox
72,Lawrence Murphy,kenneth36@hanson-white.com,926-925-1558x1800,Allisonfurt,Suriname,HR,Prevent Product,18,265.05,4770.9,Cancelled,1/13/2024,1/19/2024,Jan,13,2024,Jan,19,2024,Lawrence,Murphy
73,Bobby Lee,amybaker@hotmail.com,995.106.8230x54107,Davidberg,Barbados,Sales,Commercial Product,9,401.73,3615.57,Cancelled,10/5/2025,10/7/2025,Oct,05,2025,Oct,07,2025,Bobby,Lee
74,Frank Guerrero,pescobar@gmail.com,333-455-5415,Loweton,Romania,Sales,Despite Product,17,149.78,2546.26,In Progress,5/14/2024,5/29/2024,May,14,2024,May,29,2024,Frank,Guerrero
75,Michelle Santiago,sharonmurray@mclaughlin.org,162.364.8839x107,East Adamchester,Cambodia,Support,Now Product,15,35.45,531.75,Pending,1/12/2024,1/16/2024,Jan,12,2024,Jan,16,2024,Michelle,Santiago
76,Joyce Garcia,tmartinez@gmail.com,7222913236,Lake Matthew,Guatemala,Sales,Heavy Product,8,83.47,667.76,Cancelled,9/16/2025,9/28/2025,Sep,16,2025,Sep,28,2025,Joyce,Garcia
77,Sandra Pacheco,scott36@smith.com,(640)817-9347x68139,South Tammy,Senegal,Finance,Situation Product,14,284.98,3989.72,Completed,5/25/2025,5/26/2025,May,25,2025,May,26,2025,Sandra,Pacheco
78,Cindy Weber,shepherdheather@johnson-bentley.com,-6033,Richardport,Libyan Arab Jamahiriya,Marketing,Across Product,6,234.98,1409.88,Cancelled,9/26/2023,10/10/2023,Sep,26,2023,Oct,10,2023,Cindy,Weber
79,Eduardo Davis,mark04@gmail.com,340-784-2626x046,Brocktown,Antarctica (the territory South of 60 deg S),Marketing,Now Product,18,294.31,5297.58,In Progress,9/12/2023,9/13/2023,Sep,12,2023,Sep,13,2023,Eduardo,Davis
80,Zachary Howard,lopezjennifer@washington-nelson.info,(594)780-7212x0147,Banksstad,Australia,Support,Receive Product,10,429.36,4293.6,Cancelled,1/14/2026,1/27/2026,Jan,14,2026,Jan,27,2026,Zachary,Howard
81,Matthew Mckenzie,gonzalesrobert@yahoo.com,5088993259,Baileymouth,China,Finance,Heavy Product,2,16.4,32.8,Completed,12/24/2023,1/7/2024,Dec,24,2024,Jan,07,2024,Matthew,Mckenzie
82,Vicki Shannon,burgessdavid@reese.org,493-997-8488x237,Wadeberg,Japan,Marketing,Huge Product,12,446.87,5362.44,In Progress,12/2/2023,12/15/2023,Dec,02,2023,Dec,15,2023,Vicki,Shannon
83,Sandra Thompson MD,diane03@jones.com,(375)351-2909,Lake Brandonfurt,Bangladesh,IT,Appear Product,4,210.05,840.2,In Progress,4/12/2025,4/19/2025,Apr,12,2025,Apr,19,2025,Sandra Thompson,MD
84,John Johnson,rbarber@hotmail.com,602.480.7744x5280,Port Allison,Sweden,IT,According Product,1,440.07,440.07,Completed,5/4/2026,5/5/2026,May,04,2026,May,05,2026,John,Johnson
85,Dr. Kenneth Melton,rlopez@yahoo.com,331-276-8644x42820,South Rhonda,Liberia,Support,Free Product,15,228.03,3420.45,Pending,4/13/2025,4/16/2025,Apr,13,2025,Apr,16,2025,Dr. Kenneth,Melton
86,Alison Potter,moraleshannah@cantrell.com,+1-765-028-3590x287,Lake Lucashaven,Venezuela,Sales,Month Product,17,146.5,2490.5,Pending,5/31/2024,6/6/2024,May,31,2024,Jun,06,2024,Alison,Potter
87,Leah Pope,anna92@moss-harding.com,(698)258-3891x94135,Reillyfort,Kiribati,Support,Summer Product,6,274.82,1648.92,Pending,5/20/2023,6/3/2023,May,20,2023,Jun,03,2023,Leah,Pope
88,Joshua Castaneda,jacksoncarol@gmail.com,756.300.6389x57780,Fordville,Botswana,Support,Police Product,20,350.9,7018,In Progress,9/17/2025,10/2/2025,Sep,17,2025,Oct,02,2025,Joshua,Castaneda
89,Jared Marshall,mparker@thompson.com,4160531191,Ochoastad,Anguilla,Operations,Tree Product,7,302.06,2114.42,Cancelled,4/16/2026,4/28/2026,Apr,16,2026,Apr,28,2026,Jared,Marshall
90,Matthew Horn,danielbennett@yahoo.com,470.150.2737x65806,Katherinestad,South Africa,Support,Nor Product,2,269.32,538.64,Pending,11/15/2025,11/27/2025,Nov,15,2025,Nov,27,2025,Matthew,Horn
91,Cory Mclaughlin,sandovalchristopher@moore.com,8501368479,Rickfort,Jordan,Support,Understand Product,13,218.1,2835.3,Completed,3/4/2025,3/17/2025,Mar,04,2025,Mar,17,2025,Cory,Mclaughlin
92,Alicia Johnson,thompsonandrew@swanson.biz,168.330.1813x7659,Anthonystad,Afghanistan,Marketing,Business Product,17,30.95,526.15,In Progress,9/29/2023,10/4/2023,Sep,29,2023,Oct,04,2023,Alicia,Johnson
93,Jacqueline Smith,msmith@jenkins.com,977.927.6362x8451,West Devonville,Israel,Operations,Son Product,2,453.85,907.7,Cancelled,7/11/2025,7/15/2025,Jul,11,2025,Jul,15,2025,Jacqueline,Smith
94,Francisco Bennett,matthewhart@may.com,+1-900-274-5742x0451,Lake Michael,Sri Lanka,Support,Color Product,1,319.97,319.97,Cancelled,7/22/2025,8/1/2025,Jul,22,2025,Aug,01,2025,Francisco,Bennett
95,Deborah Smith,bdean@yahoo.com,-8755,South Juliafurt,United Kingdom,Marketing,Sing Product,13,25.9,336.7,In Progress,10/27/2024,11/5/2024,Oct,27,2024,Nov,05,2024,Deborah,Smith
96,Jennifer Osborn,lstewart@johnson.org,+1-873-638-9461x247,Onealland,Singapore,Sales,Nearly Product,20,490.24,9804.8,Pending,4/26/2025,4/28/2025,Apr,26,2025,Apr,28,2025,Jennifer,Osborn
97,Erica Nichols,castroronald@yahoo.com,+1-920-851-7778x357,East Charles,Montserrat,Sales,Policy Product,6,363.76,2182.56,Completed,1/19/2026,2/1/2026,Jan,19,2026,Feb,01,2026,Erica,Nichols
98,Sheri Jones,fitzgeraldjoseph@nolan-willis.com,(759)957-8981,Port Lindsey,Ethiopia,Sales,Matter Product,15,277.9,4168.5,Pending,8/9/2023,8/22/2023,Aug,09,2023,Aug,22,2023,Sheri,Jones
99,Patrick Johnston,william98@knapp.info,621-042-8146,New Ryan,Suriname,Sales,Reveal Product,5,422.79,2113.95,Cancelled,12/22/2024,12/26/2024,Dec,22,2024,Dec,26,2024,Patrick,Johnston
100,Taylor Perry,mcruz@sampson.org,001-750-668-8272x82558,Port Thomas,Qatar,HR,Protect Product,15,499.28,7489.2,Cancelled,1/14/2025,1/21/2025,Jan,14,2025,Jan,21,2025,Taylor,Perry
,,,,,,,,,,,,,,,,,,,,,
